pkg,build,run,revised,comment
abn,gsl-devel,,TRUE,Gnu Scientific Library version
adimpro,,ImageMagick dcraw,TRUE,"Image Magick (for reading non PPM format), dcraw(for reading RAW images)."
admixr,,,FALSE,ADMIXTOOLS suite of command-line utilities forpopulation genetics. See<https://reich.hms.harvard.edu/software> for the most recentinstallation instructions and further information.
alfr,,,FALSE,Alfresco Content Repository (Community orEnterprise)
altair,,,FALSE,"Python, (Python) Altair,vega_datasets. To use image functions for MacOS: X11"
altmeta,,,TRUE,JAGSx.y (http://mcmc-jags.sourceforge.net)
AMAPVox,,R-java,TRUE,Java-Bit (Oracle or Corretto)
AncestryMapper,,,FALSE,"None, but greater thanGB of RAM highlyrecommended."
animation,,ImageMagick tex(latex),FALSE,ImageMagick (http://imagemagick.org) orGraphicsMagick (http://www.graphicsmagick.org) or LyX(http://www.lyx.org) for saveGIF(); (PDF)LaTeX for saveLatex();SWF Tools (http://swftools.org) for saveSWF(); FFmpeg(http://ffmpeg.org) or avconv (https://libav.org/avconv.html)for saveVideo()
anticlust,glpk-devel,,TRUE,The exact (anti)clustering algorithms require thatthe GNU linear programming kit (GLPK library) is installed(<http://www.gnu.org/software/glpk/>). Rendering the vignetterequires pandoc.
apache.sedona,,,FALSE,'Apache Spark'x orx
apcf,geos-devel,,TRUE,GEOS
archive,libarchive-devel,,TRUE,"libarchive: libarchive-dev (deb),libarchive-devel (rpm), libarchive (homebrew), libarchive_dev(csw)"
argparse,,python3,FALSE,python
ari,,,FALSE,ffmpeg
arrangements,gmp-devel,,TRUE,gmp
arrow,libarrow-dataset-devel,,TRUE,"for AWS S3 support on Linux, libcurl andopenssl (optional)"
arulesCBA,,R-java,TRUE,Java
arulesNBMiner,,R-java,TRUE,Java
asbio,xorg-x11-server-Xvfb,bwidget,FALSE,BWidget
asremlPlus,,,FALSE,asreml-Rx
autoharp,,,FALSE,pandoc - http://pandoc.org
av,,,FALSE,"FFmpeg; with at least libx264 and lame(mp3) drivers. Debian/Ubuntu: libavfilter-dev, Fedora/CentOS:ffmpeg-devel (via https://rpmfusion.org), MacOS Homebrew:ffmpeg."
AWR,,,TRUE,AWS Java SDK (see README.md for more details)
babelwhale,,docker singularity,FALSE,Docker and/or Singularity
babette,,,FALSE,BEAST2 (https://www.beast2.org/)
bacistool,,,TRUE,JAGS
BALD,jags-devel,,TRUE,
bamdit,,,TRUE,JAGS (seehttp://mcmc-jags.sourceforge.net)
BANOVA,,,TRUE,"JAGS-4.3.0,"
bartMachine,,"",TRUE,Java
